Investigation.Type,Country,Injury.Severity,Amateur.Built,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
2,1,1,0,1,0,0,1,0
2,1,1,1,1,0,0,2,0
2,1,4,0,1,2,0,0,0
2,1,2,0,1,0,0,0,1
2,1,0,0,1,0,3,0,0
2,1,0,1,1,0,1,0,0
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,3
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,2
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,2
2,1,0,0,1,0,1,0,0
2,1,2,1,1,0,0,0,2
2,1,4,0,2,2,0,0,0
2,1,2,0,1,0,0,0,2
2,1,1,0,1,0,0,1,0
2,1,2,0,1,0,0,0,4
2,1,2,0,1,0,0,0,1
2,1,4,0,1,1,0,0,0
2,1,1,0,1,0,0,3,0
2,1,2,0,1,0,0,0,1
2,1,1,0,0,0,0,3,0
2,1,0,1,1,0,1,0,0
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,1
2,1,0,0,1,0,3,0,0
2,1,4,0,1,1,0,0,0
2,1,4,1,1,2,0,0,0
2,1,2,0,2,0,0,0,3
2,1,4,1,1,1,0,0,0
2,1,2,0,1,0,0,0,1
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,2
2,1,2,1,1,0,0,0,1
2,1,2,0,1,0,0,0,1
2,1,4,0,1,1,0,0,0
2,1,4,1,1,1,0,0,0
2,1,2,0,1,0,0,0,2
2,1,1,0,1,0,0,3,0
2,1,0,0,1,0,1,0,0
2,1,4,0,1,2,0,0,0
2,1,1,0,1,0,0,1,0
2,1,4,0,1,1,0,0,0
2,1,1,0,1,0,0,2,0
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,2
2,1,2,1,1,0,0,0,1
2,1,0,0,1,0,1,1,0
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,1
2,1,4,0,1,2,0,0,0
2,1,1,0,1,0,0,2,1
2,1,4,0,1,1,0,0,0
2,1,2,0,2,0,0,0,1
2,1,1,0,1,0,0,1,2
2,1,2,0,1,0,0,0,1
2,1,4,0,1,1,0,0,0
2,1,4,0,1,2,0,0,0
2,1,0,0,1,0,2,0,0
2,1,2,0,1,0,0,0,2
2,1,1,1,1,0,0,1,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,2
2,1,0,0,1,0,2,1,0
1,1,2,0,1,0,0,0,1
2,1,0,0,1,0,1,0,0
2,1,2,0,1,0,0,0,2
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,2
2,1,0,1,1,0,1,0,0
2,1,2,0,1,0,0,0,2
2,1,4,1,1,1,0,0,0
2,1,2,0,2,0,0,0,8
2,1,4,1,1,1,0,0,0
2,1,4,1,1,1,0,0,0
2,1,0,0,1,0,0,0,0
2,1,1,0,1,0,0,1,1
2,1,2,0,1,0,0,0,2
2,1,4,0,1,1,0,0,0
2,1,0,0,1,0,0,0,0
2,1,0,0,1,0,0,0,0
2,1,0,0,1,0,0,0,0
2,1,2,0,1,0,0,0,2
2,1,0,0,1,0,0,0,0
2,1,0,0,1,0,0,0,0
2,1,4,1,1,1,0,0,0
2,1,0,0,1,0,0,0,0
2,0,2,0,2,0,0,0,66
2,1,4,0,2,2,0,0,0
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,2
2,1,0,0,1,0,1,0,0
2,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
2,1,4,0,2,1,0,0,0
2,1,4,1,1,1,0,0,0
2,1,1,0,1,0,0,1,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,1
2,1,1,0,2,0,0,2,0
2,1,2,0,1,0,0,0,1
2,0,0,0,1,0,0,0,0
2,1,1,0,1,0,0,1,0
2,1,0,0,1,0,1,0,0
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,2
2,1,0,0,1,0,0,0,0
2,1,0,0,1,0,0,0,0
2,0,4,0,2,1,1,0,0
2,1,2,1,1,0,0,0,2
2,1,1,0,1,0,0,2,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,3
2,1,0,0,1,0,0,0,0
2,1,2,0,1,0,0,0,5
2,1,4,0,1,7,0,0,0
2,1,4,0,1,2,0,0,0
2,1,0,0,1,0,0,0,0
2,1,2,0,1,0,0,0,1
2,1,0,0,1,0,0,0,0
2,1,0,0,1,0,0,0,0
2,1,4,0,1,1,2,0,0
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,3
2,1,2,0,1,0,0,0,3
2,1,0,0,1,0,0,0,0
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,4
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,1
2,1,0,0,1,0,0,0,0
2,1,1,0,1,0,0,1,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,1
2,1,0,0,1,0,0,0,0
2,1,0,0,2,0,2,0,0
2,1,4,0,1,1,0,0,0
2,1,0,0,1,0,0,0,0
2,1,2,0,1,0,0,0,3
2,1,4,0,1,1,0,0,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,1
2,1,1,1,1,0,0,1,1
2,1,4,0,1,4,0,0,0
2,1,0,1,1,0,2,0,0
2,1,2,0,1,0,0,0,2
2,1,2,0,1,0,0,0,3
2,1,4,0,1,1,0,0,0
2,1,2,1,1,0,0,0,2
2,1,0,0,1,0,0,0,0
2,1,2,1,1,0,0,0,1
2,1,0,0,1,0,1,0,0
2,1,0,0,1,0,1,0,0
2,1,1,1,1,0,0,1,0
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,1
2,1,2,0,1,0,0,0,1
2,1,0,0,1,0,0,0,0
